Tecnorogy,Productgroup,Product
AL@BiCS6GEN,AL@TYY12S,AL@TBBEF0000-00010
AL@BiCS8-A,AL@TYH09S,AL@TBBES0000-00010
AL@BiCS8-C,AL@TYF68SP,AL@TBBEX0000-00010
AL@BiCS8-B,AL@TYH09S5,AL@TBBEY0000-00010
AL@BiCS9GEN,AL@DRYAUR,AL@TBBEZ0000-00010
AL@CommonRD,AL@TZY22S,AL@TBBFN0000-00010
AL@FBPJ,AL@T6SA6S,AL@TBBGM0000-00010
AL@FBPJCBA,AL@T7NM2,AL@TCBXV0000-00010
AL@CBAQC,AL@T7NX1,AL@TCBXW0000-00010
AL@VCR,AL@T7NZ5,AL@TCBYF0000-00010
AL@CloseAMDC,AL@T7PJ6,AL@TCBYG0000-00010
AL@AMDC,AL@T7RR6,AL@TCBYH0000-00010
AL@AdBiCS1GEN,AL@T7RR9,AL@TCBZ00000-00010
AL@BiCS2GEN,AL@T7RS2,AL@TCBZ10000-00010
AL@BiCS3GEN,AL@T7RX8,AL@TCC900000-00010
AL@BiCS4GEN,AL@T7SA0,AL@TCC910000-00010
AL@BiCS5GEN,AL@T7SN9,AL@TCC920000-00010
AL@CSRD,AL@T7UX7,AL@TCC930000-00010
AL@Dummy,AL@T6SN9,AL@TCC940000-00010
AL@FASHI,AL@TZS53SUTY,AL@TCC950000-00010
AL@IRAID,AL@TYY57S,AL@TCC9A0000-00010
AL@Monitor,AL@TYY56FA,AL@TBAWB0000-00010
AL@NAND01XNM,AL@TYY56FP,AL@TBAWC0000-00010
AL@NAND01YNM,AL@CYY56F,AL@TBAWD0000-00010
AL@NAND01ZNM,AL@FASINS,AL@TBAWE0000-00010
AL@NAND024NM,AL@TYY58S,AL@TBAWF0000-00010
AL@NAND032NM,AL@TYG89SA,AL@TBAWG0000-00010
AL@NAND043NM,AL@TYY69S,AL@TBAWH0000-00010
AL@NAND055NM,AL@AZPSTS,AL@TBBGS0000-00010
AL@NAND056NM,AL@CZPSTS,AL@TBBH10000-00010
AL@NAND070NM,AL@T6ST8S,AL@TBBJA0000-00010
AL@NAND090NM,AL@TYH90S,AL@TBBJD0000-00010
AL@Prepare,AL@TYG43S6,AL@TBBJE0000-00010
AL@Raw Wafer,AL@DRYBICS,AL@TBBJF0000-00010
AL@ReRAM02XNM,AL@T6XN9S,AL@TBBJS0000-00010
AL@BiCS8GEN,AL@ZCBA0SP,AL@TCBZ30000-00010
AL@Recycle,AL@TYY52S,AL@TCBZ40000-00010
AL@TEST,AL@C6YU6S,AL@TCBZ50000-00010
AL@BiCS8CBA,AL@T6XH8SY,AL@TCBZ60000-00010
